Lookup;Reference
HEYMAN MANUFACTURING GMBH;JERMYN MANUFACTURING LTD
HIRELCO;HI-REL
HIROSUGI-KEIKI CO.;MICROSEMI CORP
HITALTECH;HITACHI
HOLT INTEGRATED CIRCUITS INC.;HOLT INTEGRATED CIRCUITS CORP
HONDA TSUSHIN KOGYO CO,LTD;UNION TECHNOLOGY CORP.
HONEYWELL;SEMICONWELL
HONEYWELL/ELMWOOD (HOSHO);HONEYWELL SENSING AND CONTROL
HOS TECHNICK;TECHNIC
HOTTINGER BALDWIN MESSTECHNIK GMBH;HARTING ELECTRONICS GMBH & CO KG
HOUGHTON PRODUCTEC;HOUGHTON
HOURDIN/CHOMEL;PRINCEL.
HOWMET FASTENING SYSTEMS;TR FASTENINGS
HP / AGILENT / AVAGO;AGILENT
HUCK INTERNATIONAL;ECS INC INTERNATIONAL
HUMISEAL CHASE GLOBAL CENTER;HUMISEAL
HUNTSMAN ADVANCED MATERIALS;MOMENTIVE PERFORMANCE MATERIALS
HYBRIDES SYSTEMES;3D SYSTEMS
HYLOMAR LIMITED;AIR LIQUIDE
HYPERIX;PREMIX
HYPERTAC / SMITHS INTERCONNECT;SMITHS INTERCONNECT (Formerly HYPERTAC)
HYPERTRONICS CORPORATION;ROGERS CORPORATION
IBEREL;HI-REL
IB-GERARD;HI-SHEAR
ICAM SODIPRA;LA SOIE
I-C-I;CICOIL
IEC ELECTRONIQUE (H. CHAMBAUT);IEC ELECTRONIQUE
IERC (SOURIAU);SOURIAU
IMPHY / TCT;MAYTEC
INA ROULEMENTS S.A.;TEXAS INSTRUMENTS INC
INFINEON TECHNOLOGIES;VERO TECHNOLOGIES
INSTEC (ALCYON);INSERCO
INTEGRATED DEVICE TECHNOLOGY;LINEAR TECHNOLOGY
INTEGRATED PROCUREMENT TECHNOLOGIES;UNITED TECHNOLOGIES
INTEGRATED SILICON SOLUTION;INTERCONNECT SOLUTION GROUP
INTERCONECTION MARKETING INC;INTERNATIONAL MANUFACTURING SERVICES INC
INTERCONNEXIONS;INTERCONNECT SOLUTION GROUP
IQD FREQUENCY PRODUCTS LTD;AIR PRODUCTS
ISABELLENHUTTE (BALLOFFET);ISABELLENHUTTE
ISNA HARVARD INDUSTRIES INC;POSITRONIC INDUSTRIES INC
ISOGAINE;SONGHAN
ISOLA;ISOVOLTA
ISOLANTS COMPOSITES;MICROSS COMPONENTS
ISOLANTS DP;ELANTAS
ISOLECTRA MARTIN;ISOLECTRA-MARTIN
ISOLINK;EPOLIN
ISOTEK CORP;ISOTEK
ITEQ;INTEL
ITT CANNON;TITANOX
ITT INDUSTRIE (C & K);ICM INDUSTRIE
ITW LLC ET CO.KG;VAILLAT COATINGS
ITW SPRAYTEC;MAYTEC
J AND R METALWORK INDUSTRY;AMPERE INDUSTRIE
JACQUES DUBOIS;ALLIAGES INDUSTRIES
JBG METAFIX;JBG-METAFIX
JEHIER;JAEGER
JMS ELECTRONICS INC;STACKPOLE ELECTRONICS INC
JOHANSON COMPANY (AMC);ORGANIC COMPANY
JOHANSON DIELECTRICS INC.;COOKSON ELECTRONICS
JOHN DOLPH COMPAGNY;ORGANIC COMPANY
JOINT OUEST;CONDI OUEST
JST;STC
J-TECH;Q-TECH
JUDD WIRE;MARABU WERKE
JULABO GMBH;OSHINO LAMPS GMBH
JUPITER / FCI / SOURIAU;SOURIAU
KAHNETICS;MAGNETICS
KARL E. BRINKMANN;ZARLINK
KATO FASTENING SYSTEMS;TR FASTENINGS
KE KITAGAWA GMBH;OSHINO LAMPS GMBH
KEMET ELECTRONICS CORP.;GPD OPTOELECTRONICS CORP
KLIXON / TEXAS;SILICON LABS
KLUBER LUBRIFICATION;ML LUBRIFICATION
KNOWLES / SYFER;KNOWLES CORP
KOA;EOA
KONTEK COMATEL;NOMEL
KONY;MDX-KONY
KRAUS-NAIMER (SOLENOID FRANCE);FIBRO FRANCE
KREMPEL GMBH;KREMPEL
KRIEG ET ZIVY;KUPIETZ
KUKDONG ELECTRONIC PRECISION;COOKSON ELECTRONICS
KUNZE;KLUBER
KUNZE FOLIEN;EPOLIN
KYUSHU DENTSU.CO.;IDENTCO
LA SOIE-NEYME SAS;LA SOIE
LABINAL SA;BALSEAL
LABORATOIRE ERAD;LPS LABORATORIES
LABORATOIRES CHOISY LTEE;LPS LABORATORIES
LA-COINDUSTRIES EUROPE SAS;CRC INDUSTRIES
LAGUERRE CHIMIE;SERVICE CHIMIE
LAIRD TECHNOLOGIES;API TECHNOLOGIES
LAMBERT RIVIERE;BERNIER
LAPHI;LAPP
LATTICE SEMICONDUCTOR CORP.;CENTRAL SEMICONDUCTOR CORP
LBFS DIVISION RELLUMIX;SEMICONWELL
LCC/TPC / AVX;AVX
LE BRONZE INDUSTRIEL;AMPERE INDUSTRIE
LE RIVET FORE;DERIVERY
LECLANCHE S.A.;LECLANCHE
LEDTRONIC;LEDTRONICS
LEMO FRANCE SARL;ERCE SARL
LEROUX ELASTOMERES;APEX FASTENERS
LES MODELES FRANCAIS;LE JOINT FRANCAIS
LESSEL;BALSEAL
LEVRAT;ALTERA
LGC;GCT
LHOTELLIER MONTRICHARD;HALO ELECTRONICS
LIGHTING DIVERSION SYSTEMS;LINEAR SYSTEMS
LINDE GAS SA;LINDE GAS
LISI AUTOMOTIVE NOMEL SAS;LISI AUTOMOTIVE
LITE-ON TECHNOLOGY CORPORATION;UNION TECHNOLOGY CORP.
LITTELFUSE / CONCORD SEMICONDUCTORS;LITE-ON SEMICONDUCTOR
LITTLESTAR PLASTICS;GE PLASTICS
LITTON - VEAM;SOLITRON DEVICES
LJF HUTCHINSON;HUTCHINSON
LMB;LEM
LMI;LEM
LOCTITE FRANCE;LOCTITE
LSI (ISC);LSI LOGIC
LTC;RTC
LTM;LEM
LUCKY FORESTS;CYPRESS
LYRA FRANCE;LANFRANCO
LYRECO;RECOM
M.E.I.R.I.;MICROCHIP
MACQUART & CIE;MACTAC
MAF;SIMAF
MAGLAB LCC;MAGNALUBE
MAGNATEC;MAGNETEK
MALLORY;METALOR
MARATHON POWER TECHNOLOGIES COMPANY;BETA TRANSFORMER TECHNOLOGY CORP
MARCOLAC;ARCOL
MARCON;ABRACON
MARCONI;ARCONIC
MAR-GOM SRL;AERO STANREW LTD
MARGUET;MAGNETEK
MARKEM IMAJE;ARKEMA
MARL;MARKAL
MARLIN MANUFACTURING CORPORATION;JERMYN MANUFACTURING LTD
MARLYD;MARKAL
MARVELL SEMICONDUCTOR;SEOUL SEMICONDUCTOR
MASSON'S STEEL;AKSTEEL
MATEL PIEZO;ATMEL CORP
MATERIELS DE CONTROLE INDUSTRIEL;AMPERE INDUSTRIE
MATRIX / AMP / TYCO;MATRA MHS
MATRIX / AMPHENOL;AMPHENOL
MATTHEY;MAYTEC
MC2 CHIMIE-DERCAM;CHIMIDEROUIL
MCB;MBO
MCMASTER;LANCASTER
MDE SEMICONDUCTOR INC.;MDE SEMICONDUCTOR INC
MDP SAS;MDP
MECANOSER;MENTOR
MEGGITT-CGS / TYCO;MEGGIT
MERCK EUROLAB;ECOLAB
MERSEN FRANCE SB S.A.S.;FIBRO FRANCE
MESPOULET;MENZOLIT
MESSIER BUGATTI SA;TEER COATINGS
METACONCEPT;MECATRACTION
METALLO;METALOR
METOX;MENTOR
METRIX;ETRI
MGB;GEB
MICAPLY;MOCAP
MICEL;MICREL
MICEL ICT;MICREL
MICRO;MINCO
MICRO LINEAR;MICRONAS
MICRO POWER SYSTEMS (MICROEL);MICRO POWER SYSTEMS
MICROCERAMIQUE;SRT MICROCERAMIQUE
MICROCHIP/MICROSEMI;MICROCHIP
MICROCHIP-MICREL;MICROCHIP
MICROELECTRONIC MARIN;EM MICROELECTRONIC
MICROMETALS ARNOLDS POWER CORES;MICRO COMMERCIAL COMPONENTS CORP
MICRONEL;MICREL
MICROSEMI;MICROSEMI CORP
MICROSS;MICRONAS
MICROTHERM;MICROTECH
MICROTURBO SA;MICRONETWORKS
MILL-MAX MFG. CORP.;MILL-MAX
MILTON ROSS;HAMILTON STANDARD
MINELCO / L3 ELECTRODYNAMICS INC.;CORNELL DUBILIER ELECTRONICS INC
MISSLER TECHNOLOGIE;VERO TECHNOLOGIES
MITEL SEMICONDUCTOR;LITE-ON SEMICONDUCTOR
MMG-SAILCREST;GE SILICONES
MOLEX FRANCE SARL;ERCE SARL
MOMENTIVE AMER IND;MOMENTIVE PERFORMANCE MATERIALS
MORGAN CARBONE FRANCE;ORGANIC COMPANY
MOTOROLA / ONSEMI.;MOTOROLA
MPE (EUROMIP);HPCEUROPE
MULTICOMP;MULTIROIR
MULTI-CONTACT;TICONA
MVR INTERNATIONAL INC;VECTRON INTERNATIONAL
MWS WIRE INDUSTRIES;AMPERE INDUSTRIE
MYONIC;ARCONIC
MYRRA;OMYA
NATIONAL AEROSPACE STANDARDS COMMIT;WESTON AEROSPACE
NATIONAL SEMICONDUCTEUR;NATIONAL SEMICONDUCTOR
NAUDER INDUSTRIE;AMPERE INDUSTRIE
NEC-SA;NEC
NEFAB;LEAB
NEOSID;MMG NEOSID
N'ERGY ELECTROTECHNIQUE;N'ERGY ELECTROTEC
NEW JERSEY SEMICONDUCTOR;NEW JERSEY SEMICONDUCTOR PRODUCTS INC
NEW METALS AND CHEMICALS LIMITED;TOPLINE ELECTRONICS LIMITED
NICHOLS;NICHICON
NICOLITCH;SILITECH
NIPPON CHEMI-CON CORP.;NIPPON CHEMI-CON
NMB;MBO
NORCAN;NORMA
NORWE (COREL);KNOWLES CORP
NSK;NKE
NSK ENGLAND;MS KENNEDY
NSK INDONESIA;SMC DIODES
NSK JAPAN;SECURAPLANE
NSK POLSKA;SOLVAY
NSK UK;KUKDO
NXP SEMICONDUCTORS / NEXPERIA;QP SEMICONDUCTOR
NYLON MOLDING CORPORATION;LORD CORPORATION
OEP;OEC
OK INDUSTRIES FRANCE SA;POSITRONIC INDUSTRIES INC
OMRON;M-TRON
ON SEMICONDUCTOR;QP SEMICONDUCTOR
ONE LIGHT ELECTRONICS;BH ELECTRONICS
ONE LIGHT ELECTRONICS (MANUDAX);EVERLIGHT ELECTRONICS CO LTD
ORBITEC;TRITEC
OSHINO;SATINOX
PALL;PASCALL
PAPECO;PENCOM
PAPST;KAPSTO
PARK ELECTROCHEMICAL;PACO ELECTRONICS
PARKER CHOMERICS;CHOMERICS
PARKER HANNIFIN;PARKER
PARKER HYDRAULICS AND PNEUMATICS;REBLING PLASTICS
PAYTON GROUP;ERPRO GROUP
PEM / TITANOX;TITANOX
PENTAIR / SCHROFF;PENTAIR
PERANCEA;PETERCEM
PERMALI;PERMABOND
PERO FRANCE;FIBRO FRANCE
PETERCEM / ABB FRANCE;PETERCEM
PEXA LTD;AERO STANREW LTD
PHILIPS (RTC) / NXP;PHILIPS SEMICONDUCTORS
PHOENIX CONTACT;PHOENIX
PI / EUROFARAD;EUROFARAD
PIC INDUSTRIES;ICM INDUSTRIE
